Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u14	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u15	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u16	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u17	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u18	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u19	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u20	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u21	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u22	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-01-22-tweedekamer-3	ParlaMint-NL_2015-01-22-tweedekamer-3.u23	Report of the meeting of the Dutch Lower House, Meeting 45, Session 3 (2015-01-22)	2015-01-22	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 45	Sitting 2015-01-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
