Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArnoRutte	Rutte, Arno	M	1972	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArnoRutte	Rutte, Arno	M	1972	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArnoRutte	Rutte, Arno	M	1972	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LeaBouwmeester	Bouwmeester, Lea	F	1979	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReinetteKlever	Klever, Reinette	F	1967	
ParlaMint-NL-en_2015-05-19-tweedekamer-3	ParlaMint-NL_2015-05-19-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 84, Session 3 (2015-05-19)	2015-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 84	Sitting 2015-05-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
