Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u1	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u2	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	GreetjeDeVries-Leggedoor	De Vries-Leggedoor, Greetje	F	1955	
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u3	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KoosSchouwenaar	Schouwenaar, Koos	M	1947	
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u4	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u5	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KoosSchouwenaar	Schouwenaar, Koos	M	1947	
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u6	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KoosSchouwenaar	Schouwenaar, Koos	M	1947	
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u7	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	MargreetdeBoer	de Boer, Margreet	F	1964	
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u8	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	RogervanBoxtel	van Boxtel, Roger	M	1954	
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u9	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	MargreetdeBoer	de Boer, Margreet	F	1964	
ParlaMint-NL-en_2015-03-10-eerstekamer-3	ParlaMint-NL_2015-03-10-eerstekamer-3.u10	Report of the meeting of the Dutch Upper House, Meeting 23, Session 3 (2015-03-10)	2015-03-10	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 23	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KoosSchouwenaar	Schouwenaar, Koos	M	1947	
