Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HarryvanBommel	van Bommel, Harry	M	1962	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-01-20-tweedekamer-2	ParlaMint-NL_2015-01-20-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2015-01-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
