Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	TonyvanDijck	van Dijck, Tony	M	1963	
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AukjedeVries	de Vries, Aukje	F	1964	
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SharonGesthuizen	Gesthuizen, Sharon	F	1976	
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	EdGroot	Groot, Ed	M	1957	
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-04-tweedekamer-9	ParlaMint-NL_2015-03-04-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 59, Session 9 (2015-03-04)	2015-03-04	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 59	Sitting 2015-03-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
