Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HarryvanBommel	van Bommel, Harry	M	1962	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2015-11-17-tweedekamer-3	ParlaMint-NL_2015-11-17-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 25, Session 3 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
