Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u1	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u2	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u3	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u4	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u5	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u6	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u7	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u8	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u9	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u10	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-04-23-tweedekamer-10	ParlaMint-NL_2015-04-23-tweedekamer-10.u11	Report of the meeting of the Dutch Lower House, Meeting 80, Session 10 (2015-04-23)	2015-04-23	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 80	Sitting 2015-04-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
