Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-10-27-tweedekamer-3	ParlaMint-NL_2015-10-27-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 16, Session 3 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	JoramvanKlaveren	van Klaveren, Joram	M	1979	
ParlaMint-NL-en_2015-10-27-tweedekamer-3	ParlaMint-NL_2015-10-27-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 16, Session 3 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-27-tweedekamer-3	ParlaMint-NL_2015-10-27-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 16, Session 3 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	JoramvanKlaveren	van Klaveren, Joram	M	1979	
ParlaMint-NL-en_2015-10-27-tweedekamer-3	ParlaMint-NL_2015-10-27-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 16, Session 3 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-27-tweedekamer-3	ParlaMint-NL_2015-10-27-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 16, Session 3 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	JoramvanKlaveren	van Klaveren, Joram	M	1979	
ParlaMint-NL-en_2015-10-27-tweedekamer-3	ParlaMint-NL_2015-10-27-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 16, Session 3 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-27-tweedekamer-3	ParlaMint-NL_2015-10-27-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 16, Session 3 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-10-27-tweedekamer-3	ParlaMint-NL_2015-10-27-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 16, Session 3 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-27-tweedekamer-3	ParlaMint-NL_2015-10-27-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 16, Session 3 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 16	Sitting 2015-10-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
