Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u1	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u2	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	TonRombouts	Rombouts, Ton	M	1951	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u3	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u4	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	TonRombouts	Rombouts, Ton	M	1951	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u5	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u6	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	TonRombouts	Rombouts, Ton	M	1951	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u7	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u8	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	TonRombouts	Rombouts, Ton	M	1951	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u9	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u10	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u11	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilDuthler	Duthler, Anne-Wil	F	1967	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u12	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JannetteBeuving	Beuving, Jannette	F	1965	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u13	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TinekeStrik	Strik, Tineke	F	1961	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u14	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u15	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TinekeStrik	Strik, Tineke	F	1961	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u16	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	BobRuers	Ruers, Bob	M	1947	
ParlaMint-NL-en_2016-07-05-eerstekamer-3	ParlaMint-NL_2016-07-05-eerstekamer-3.u17	Report of the meeting of the Dutch Upper House, Meeting 37, Session 3 (2016-07-05)	2016-07-05	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 37	Sitting 2016-07-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
