Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	AlexanderPechtold	Pechtold, Alexander	M	1965	
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	AlexanderPechtold	Pechtold, Alexander	M	1965	
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	PiaDijkstra	Dijkstra, Pia	F	1954	
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-02-03-tweedekamer-4	ParlaMint-NL_2016-02-03-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 50, Session 4 (2016-02-03)	2016-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 50	Sitting 2016-02-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
