Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AgnesWolbert	Wolbert, Agnes	F	1958	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2016-04-21-tweedekamer-9	ParlaMint-NL_2016-04-21-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 80, Session 9 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
