Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MohammedMohandis	Mohandis, Mohammed	M	1985	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MohammedMohandis	Mohandis, Mohammed	M	1985	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MohammedMohandis	Mohandis, Mohammed	M	1985	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2016-05-24-tweedekamer-3	ParlaMint-NL_2016-05-24-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 86, Session 3 (2016-05-24)	2016-05-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 86	Sitting 2016-05-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
