Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2016-11-29-tweedekamer-3	ParlaMint-NL_2016-11-29-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
