Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2015-07-24-S1-commons	ParlaMint-GR_2015-07-24-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 79, 2015-07-24	2015-07-24	Unicameralism	16	1	-	79	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΜΠΑΛΑΦΑΣ_ΠΕΡΙΚΛΗ_ΙΩΑΝΝΗΣ	Mpalafas, Iōannīs	M	-	
ParlaMint-GR-en_2015-07-24-S1-commons	ParlaMint-GR_2015-07-24-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 79, 2015-07-24	2015-07-24	Unicameralism	16	1	-	79	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΕΦΑΛΟΓΙΑΝΝΗΣ_ΑΧΙΛΛΕΑ_ΙΩΑΝΝΗΣ	Kefalogiannīs, Iōannīs	M	-	
ParlaMint-GR-en_2015-07-24-S1-commons	ParlaMint-GR_2015-07-24-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 79, 2015-07-24	2015-07-24	Unicameralism	16	1	-	79	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΜΠΑΛΑΦΑΣ_ΠΕΡΙΚΛΗ_ΙΩΑΝΝΗΣ	Mpalafas, Iōannīs	M	-	
ParlaMint-GR-en_2015-07-24-S1-commons	ParlaMint-GR_2015-07-24-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 79, 2015-07-24	2015-07-24	Unicameralism	16	1	-	79	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΜΠΑΛΑΦΑΣ_ΠΕΡΙΚΛΗ_ΙΩΑΝΝΗΣ	Mpalafas, Iōannīs	M	-	
