Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΔΡΙΤΣΕΛΗ_ΙΩΑΝΝΗ_ΠΑΝΑΓΙΩΤΑ	Dritselī, Panagiōta	F	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Regular	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΟΡΦΑΝΟΣ_ΔΗΜΗΤΡΙΟΥ_ΝΙΚΟΛΑΟΣ	Orfanos, Nikolaos	M	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΔΡΙΤΣΑΣ_ΠΑΝΑΓΙΩΤΗ_ΘΕΟΔΩΡΟΣ	Dritsas, Theodōros	M	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Regular	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΟΡΦΑΝΟΣ_ΔΗΜΗΤΡΙΟΥ_ΝΙΚΟΛΑΟΣ	Orfanos, Nikolaos	M	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΔΡΙΤΣΑΣ_ΠΑΝΑΓΙΩΤΗ_ΘΕΟΔΩΡΟΣ	Dritsas, Theodōros	M	-	
ParlaMint-GR-en_2015-07-13-S1-commons	ParlaMint-GR_2015-07-13-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 74, 2015-07-13	2015-07-13	Unicameralism	16	1	-	74	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
