Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΜΑΝΙΑΤΗΣ_ΑΝΑΣΤΑΣΙΟΥ_ΙΩΑΝΝΗΣ	Maniatīs, Iōannīs	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Regular	MP	Minister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΦΛΑΜΠΟΥΡΑΡΗΣ_ΓΕΡΑΣΙΜΟΥ_ΑΛΕΞΑΝΔΡΟΣ	Flampoyrarīs, Alexandros	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΜΑΝΙΑΤΗΣ_ΑΝΑΣΤΑΣΙΟΥ_ΙΩΑΝΝΗΣ	Maniatīs, Iōannīs	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Regular	MP	Minister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΦΛΑΜΠΟΥΡΑΡΗΣ_ΓΕΡΑΣΙΜΟΥ_ΑΛΕΞΑΝΔΡΟΣ	Flampoyrarīs, Alexandros	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΣΚΡΕΚΑΣ_ΘΕΟΔΩΡΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Skrekas, Kōnstantinos	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΔΗΜΗΤΡΙΑΔΗΣ_ΚΛΕΑΝΘΗ_ΔΗΜΗΤΡΙΟΣ	Dīmītriadīs, Dīmītrios	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u14	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΣΚΡΕΚΑΣ_ΘΕΟΔΩΡΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Skrekas, Kōnstantinos	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u15	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u16	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΣΚΡΕΚΑΣ_ΘΕΟΔΩΡΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Skrekas, Kōnstantinos	M	-	
ParlaMint-GR-en_2018-11-30-S1-commons	ParlaMint-GR_2018-11-30-S1-commons.u17	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 36, 2018-11-30	2018-11-30	Unicameralism	17	4	-	36	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
