Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	LDS	Liberal Democracy of Slovenia	Coalition	Centre to centre-left	LahovnikMatej	Lahovnik, Matej	M	1971	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	HauptmanPeter	Hauptman, Peter	M	-	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SNS	Slovenian National Party	Opposition	Right to far-right	PečeSašo	Peče, Sašo	M	1971	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	ZLSD	United List of Social Democrats	Coalition	Centre-left	PotrčMiran	Potrč, Miran	M	1938	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u20	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SLS	Slovenian People's Party	Opposition	Centre-right	KanglerFranc	Kangler, Franc	M	1965	
ParlaMint-SI-en_2004-12-02-SDZ4-Izredna-03	ParlaMint-SI_2004-12-02-SDZ4-Izredna-03.ana.u21	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 3, (02. 12. 2004)	2004-12-02	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	CukjatiFrance	Cukjati, France	M	1943	
