Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u1	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u2	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u3	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u4	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u5	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u6	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u7	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u8	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u9	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2022-06-07-tweedekamer-35	ParlaMint-NL_2022-06-07-tweedekamer-35.u10	Report of the meeting of the Dutch Lower House, Meeting 88, Session 35 (2022-06-07)	2022-06-07	Lower house	Meeting of the 30th Tweede Kamer	Session 35	Meeting 88	Sitting 2022-06-07	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkStrolenberg	Strolenberg, Mark	M	1979	
